date,ht,at,hg,ag,result,h_odds,d_odds,a_odds,ht_form_points,ht_form_goals_scored,ht_form_goals_conceded,ht_form_wins,at_form_points,at_form_goals_scored,at_form_goals_conceded,at_form_wins,ht_home_form_points,ht_home_form_goals_scored,at_away_form_points,at_away_form_goals_scored,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total_matches,ht_form,at_form,ht_attack,at_attack,joint_attack,h2h_dominance,odds_favorite
2006-01-06,belenenses,gil vicente,0,2,A,1.8,3.25,4.0,10.0,4.0,1.0,3.0,6.0,4.0,4.0,2.0,7.0,5.0,0.0,0.0,1.0,1.0,2.0,4,good,below avg,average,average,average x average,balanced,home
2006-01-06,nacional,setubal,2,2,D,1.72,3.25,4.33,9.0,6.0,3.0,3.0,9.0,3.0,2.0,3.0,12.0,7.0,10.0,5.0,0.0,0.0,2.0,2,average,average,average,weak,average x weak,balanced,home
2006-01-07,maritimo,academica,2,2,D,1.72,3.25,4.33,7.0,5.0,5.0,2.0,7.0,4.0,5.0,2.0,10.0,5.0,6.0,3.0,0.0,1.0,3.0,4,average,average,average,average,average x average,balanced,home
2006-01-07,naval,penafiel,4,1,H,2.0,3.25,3.25,0.0,2.0,10.0,0.0,1.0,3.0,8.0,0.0,4.0,3.0,3.0,7.0,0.0,0.0,0.0,0,poor,poor,weak,weak,weak x weak,balanced,home
2006-01-07,sp braga,sporting,3,2,H,2.5,3.2,2.5,3.0,3.0,5.0,1.0,10.0,8.0,2.0,3.0,12.0,8.0,9.0,8.0,0.0,1.0,3.0,4,poor,good,weak,above avg,weak x above avg,balanced,balanced
2006-01-08,porto,boavista,1,0,H,1.44,3.75,6.5,13.0,10.0,3.0,4.0,5.0,4.0,7.0,1.0,8.0,9.0,3.0,3.0,2.0,0.0,2.0,4,excellent,below avg,above avg,average,above avg x average,balanced,home
2006-01-08,benfica,pacos ferreira,2,0,H,1.3,4.5,8.0,13.0,4.0,0.0,4.0,7.0,7.0,7.0,2.0,11.0,6.0,5.0,4.0,2.0,0.0,0.0,2,excellent,average,average,average,average x average,balanced,home
2006-01-08,est amadora,guimaraes,2,0,H,2.1,3.25,3.0,9.0,4.0,3.0,3.0,4.0,2.0,8.0,1.0,5.0,4.0,7.0,3.0,0.0,0.0,2.0,2,average,below avg,average,weak,average x weak,balanced,home
2006-01-09,rio ave,leiria,1,2,A,2.1,3.25,3.0,5.0,5.0,8.0,1.0,10.0,9.0,6.0,3.0,5.0,6.0,9.0,9.0,3.0,1.0,0.0,4,below avg,good,average,above avg,average x above avg,balanced,home
2006-01-14,sp braga,leiria,1,0,H,1.66,3.4,4.33,6.0,6.0,6.0,2.0,12.0,10.0,6.0,4.0,12.0,10.0,9.0,8.0,3.0,2.0,0.0,5,below avg,good,average,above avg,average x above avg,balanced,home
2006-01-14,belenenses,sporting,0,1,A,3.0,3.2,2.1,9.0,4.0,3.0,3.0,7.0,8.0,5.0,2.0,7.0,4.0,8.0,8.0,1.0,0.0,4.0,5,average,average,average,above avg,average x above avg,balanced,away
2006-01-15,naval,guimaraes,0,0,D,2.2,3.25,2.75,3.0,5.0,8.0,1.0,4.0,2.0,8.0,1.0,4.0,5.0,4.0,2.0,1.0,0.0,0.0,1,poor,below avg,average,weak,average x weak,balanced,home
2006-01-15,rio ave,penafiel,2,0,H,1.61,3.5,4.5,5.0,6.0,9.0,1.0,0.0,3.0,11.0,0.0,5.0,6.0,2.0,6.0,2.0,1.0,0.0,3,below avg,poor,average,weak,average x weak,balanced,home
2006-01-15,nacional,pacos ferreira,2,2,D,1.66,3.4,4.33,7.0,7.0,5.0,2.0,4.0,4.0,8.0,1.0,10.0,7.0,5.0,4.0,2.0,1.0,0.0,3,average,below avg,average,average,average x average,balanced,home
2006-01-15,benfica,academica,3,0,H,1.2,5.0,10.0,15.0,6.0,0.0,5.0,5.0,5.0,7.0,1.0,11.0,6.0,4.0,4.0,3.0,1.0,0.0,4,excellent,below avg,average,average,average x average,balanced,home
2006-01-15,est amadora,porto,2,1,H,4.5,3.5,1.61,12.0,6.0,2.0,4.0,13.0,10.0,3.0,4.0,7.0,4.0,15.0,8.0,0.0,0.0,2.0,2,good,excellent,average,above avg,average x above avg,balanced,away
2006-01-15,maritimo,gil vicente,1,1,D,1.8,3.25,4.0,7.0,6.0,6.0,2.0,9.0,6.0,3.0,3.0,8.0,5.0,3.0,2.0,1.0,1.0,3.0,5,average,average,average,average,average x average,balanced,home
2006-01-16,setubal,boavista,0,2,A,2.2,3.25,2.75,7.0,4.0,4.0,2.0,4.0,3.0,7.0,1.0,9.0,3.0,2.0,2.0,0.0,3.0,0.0,3,average,below avg,average,weak,average x weak,balanced,home
2006-01-19,penafiel,sp braga,0,0,D,4.33,3.4,1.66,0.0,2.0,11.0,0.0,9.0,7.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,3,poor,average,weak,average,weak x average,balanced,away
2006-01-20,gil vicente,benfica,1,3,A,4.33,3.25,1.72,10.0,7.0,3.0,3.0,15.0,8.0,0.0,5.0,8.0,8.0,10.0,7.0,1.0,1.0,3.0,5,good,excellent,average,above avg,average x above avg,balanced,away
2006-01-21,sporting,maritimo,1,1,D,1.4,3.75,7.5,9.0,8.0,4.0,3.0,8.0,7.0,6.0,2.0,9.0,7.0,8.0,8.0,2.0,0.0,3.0,5,average,average,above avg,average,above avg x average,balanced,home
2006-01-21,academica,nacional,0,0,D,2.7,3.1,2.37,2.0,4.0,10.0,0.0,8.0,9.0,6.0,2.0,7.0,5.0,9.0,7.0,1.0,1.0,3.0,5,poor,average,average,above avg,average x above avg,balanced,balanced
2006-01-21,porto,naval,1,0,H,1.16,6.0,13.0,12.0,10.0,4.0,4.0,4.0,5.0,7.0,1.0,11.0,10.0,0.0,3.0,1.0,0.0,0.0,1,good,below avg,above avg,average,above avg x average,balanced,home
2006-01-21,boavista,est amadora,2,1,H,1.72,3.25,4.33,4.0,3.0,6.0,1.0,12.0,7.0,3.0,4.0,8.0,7.0,6.0,2.0,0.0,1.0,2.0,3,below avg,good,weak,average,weak x average,balanced,home
2006-01-21,guimaraes,rio ave,1,1,D,2.1,3.2,3.1,5.0,2.0,5.0,1.0,7.0,6.0,7.0,2.0,4.0,2.0,5.0,6.0,1.0,2.0,2.0,5,below avg,average,weak,average,weak x average,balanced,home
2006-01-21,pacos ferreira,setubal,1,2,A,2.25,3.2,2.8,4.0,4.0,8.0,1.0,4.0,3.0,6.0,1.0,7.0,7.0,8.0,6.0,1.0,0.0,0.0,1,below avg,below avg,average,weak,average x weak,balanced,home
2006-01-23,leiria,belenenses,2,2,D,1.8,3.4,3.75,9.0,7.0,7.0,3.0,6.0,3.0,4.0,2.0,10.0,10.0,4.0,2.0,1.0,1.0,2.0,4,average,below avg,average,weak,average x weak,balanced,home
2006-01-27,pacos ferreira,boavista,0,1,A,2.62,3.0,2.5,1.0,4.0,10.0,0.0,7.0,5.0,6.0,2.0,6.0,6.0,5.0,4.0,0.0,1.0,2.0,3,poor,average,average,average,average x average,balanced,balanced
2006-01-28,benfica,sporting,1,3,A,1.9,3.2,3.6,15.0,10.0,1.0,5.0,10.0,9.0,4.0,3.0,13.0,7.0,10.0,7.0,2.0,0.0,3.0,5,excellent,good,above avg,above avg,above avg x above avg,balanced,home
